Name: Application|MaximumSize: 20480Retention: Circular|Enabled: True|Classic: True|LogType: Administrative|Isolation: Application|Providers: 172|FilePath: %SystemRoot%\System32\Winevt\Logs\Application.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: HardwareEvents|MaximumSize: 20480Retention: Circular|Enabled: True|Classic: True|LogType: Administrative|Isolation: Application|Providers: 2|FilePath: %SystemRoot%\System32\Winevt\Logs\HardwareEvents.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Internet Explorer|MaximumSize: 1028Retention: Circular|Enabled: True|Classic: True|LogType: Administrative|Isolation: Application|Providers: 0|FilePath: %SystemRoot%\System32\Winevt\Logs\Internet Explorer.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x07;;;WD)S:(ML;;0x1;;;LW)
Name: Key Management Service|MaximumSize: 20480Retention: Circular|Enabled: True|Classic: True|LogType: Administrative|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Key Management Service.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Security|MaximumSize: 20480Retention: Circular|Enabled: True|Classic: True|LogType: Administrative|Isolation: Custom|Providers: 13|FilePath: %SystemRoot%\System32\Winevt\Logs\Security.evtxSecurityDescriptor: O:BAG:SYD:(A;;0xf0005;;;SY)(A;;0x5;;;BA)(A;;0x1;;;S-1-5-32-573)
Name: System|MaximumSize: 20480Retention: Circular|Enabled: True|Classic: True|LogType: Administrative|Isolation: System|Providers: 282|FilePath: %SystemRoot%\System32\Winevt\Logs\System.evtxSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Windows PowerShell|MaximumSize: 15360Retention: Circular|Enabled: True|Classic: True|LogType: Administrative|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Windows PowerShell.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Analytic|Provider: Microsoft-Windows-FunctionDiscovery|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Analytic.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: DirectShowFilterGraph|Provider: Microsoft-Windows-DirectShow-Core|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Debug|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\DirectShowFilterGraph.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: DirectShowPluginControl|Provider: Microsoft-Windows-DirectShow-Core|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\DirectShowPluginControl.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Els_Hyphenation/Analytic|Provider: Microsoft-Windows-ELS-Hyphenation|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Els_Hyphenation%4Analytic.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: EndpointMapper|Provider: Microsoft-Windows-RPCSS|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Debug|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\EndpointMapper.etlSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: FirstUXPerf-Analytic|Provider: Microsoft-Windows-FirstUX-PerfInstrumentation|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\FirstUXPerf-Analytic.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: ForwardedEvents|Provider: Microsoft-Windows-EventCollector|MaximumSize: 20480Retention: Circular|Enabled: False|Classic: False|LogType: Operational|Isolation: Custom|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\ForwardedEvents.evtxSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: IHM_DebugChannel|Provider: Microsoft-Windows-TabletPC-InputPanel|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Debug|Isolation: Application|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\IHM_DebugChannel.etlSecurityDescriptor: O:BAG:SYD:(A;;0x2;;;S-1-15-2-1)(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x7;;;SO)(A;;0x3;;;IU)(A;;0x3;;;SU)(A;;0x3;;;S-1-5-3)(A;;0x3;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Intel-iaLPSS-GPIO/Analytic|Provider: Intel-iaLPSS-GPIO|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Intel-iaLPSS-GPIO%4Analytic.etlSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Intel-iaLPSS-I2C/Analytic|Provider: Intel-iaLPSS-I2C|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Intel-iaLPSS-I2C%4Analytic.etlSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Intel-iaLPSS2-GPIO2/Debug|Provider: Intel-iaLPSS2-GPIO2|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Intel-iaLPSS2-GPIO2%4Debug.etlSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Intel-iaLPSS2-GPIO2/Performance|Provider: Intel-iaLPSS2-GPIO2|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Intel-iaLPSS2-GPIO2%4Performance.etlSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
Name: Intel-iaLPSS2-I2C/Debug|Provider: Intel-iaLPSS2-I2C|MaximumSize: 1028Retention: Retain|Enabled: False|Classic: False|LogType: Analytical|Isolation: System|Providers: 1|FilePath: %SystemRoot%\System32\Winevt\Logs\Intel-iaLPSS2-I2C%4Debug.etlSecurityDescriptor: O:BAG:SYD:(A;;0xf0007;;;SY)(A;;0x7;;;BA)(A;;0x3;;;BO)(A;;0x5;;;SO)(A;;0x1;;;IU)(A;;0x3;;;SU)(A;;0x1;;;S-1-5-3)(A;;0x2;;;S-1-5-33)(A;;0x1;;;S-1-5-32-573)
