"Name","DisplayName","Events","Guid","FileName","MessageFile","SubstitutionFile","ResourceFile","Levels","Keywords","SendsTo"
".NET Runtime","","0","00000000-0000-0000-0000-000000000000","mscoree.dll","C:\Windows\system32\mscoree.dll","","","","","Application"
".NET Runtime Optimization Service","","0","00000000-0000-0000-0000-000000000000","mscoree.dll","C:\Windows\system32\mscoree.dll","","","","","Application"
"Active Server Pages","","0","00000000-0000-0000-0000-000000000000","iisres.dll","C:\Windows\system32\inetsrv\iisres.dll","","","","","Application"
"Application","","0","00000000-0000-0000-0000-000000000000","","","","","","","Application"
"Application Error","","0","00000000-0000-0000-0000-000000000000","wer.dll","C:\Windows\System32\wer.dll","","","","","Application"
"Application Hang","","0","00000000-0000-0000-0000-000000000000","wersvc.dll","C:\Windows\System32\wersvc.dll","","","","","Application"
"Application Management","","0","00000000-0000-0000-0000-000000000000","appmgmts.dll","C:\Windows\System32\appmgmts.dll","C:\Windows\System32\kernel32.dll","","","","Application"
"ASP.NET 2.0.50727.0","","0","00000000-0000-0000-0000-000000000000","aspnet_rc.dll","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\aspnet_rc.dll","","","","","Application"
"ASP.NET 4.0.30319.0","","0","00000000-0000-0000-0000-000000000000","aspnet_rc.dll","C:\Windows\Microsoft.NET\Framework\v4.0.30319\aspnet_rc.dll","","","","","Application"
"CardSpace 3.0.0.0","","0","00000000-0000-0000-0000-000000000000","ServiceModelEvents.dll","C:\Windows\Microsoft.NET\Framework64\v3.0\Windows Communication Foundation\ServiceModelEvents.dll;C:\Windows\System32\icardres.dll","","","","","Application"
"CardSpace 4.0.0.0","","0","00000000-0000-0000-0000-000000000000","ServiceModelEvents.dll","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ServiceModelEvents.dll;icardres.dll.mui","","","","","Application"
"Chkdsk","","0","00000000-0000-0000-0000-000000000000","ulib.dll","C:\Windows\System32\ulib.dll","","","","","Application"
"Ci","","0","00000000-0000-0000-0000-000000000000","query.dll","C:\Windows\system32\query.dll","","","","","Application"
"Desktop Window Manager","","0","00000000-0000-0000-0000-000000000000","dwm.exe","C:\Windows\system32\dwm.exe","","","","","Application"
"DiskQuota","","0","00000000-0000-0000-0000-000000000000","dskquota.dll","C:\Windows\System32\dskquota.dll","","","","","Application"
"Dvd Maker","","0","00000000-0000-0000-0000-000000000000","DVDMaker.exe","C:\Program Files\DVD Maker\DVDMaker.exe","","","","","Application"
"ESENT","","0","00000000-0000-0000-0000-000000000000","esent.dll","C:\Windows\system32\esent.dll","","","","","Application"
"EvntAgnt","","0","00000000-0000-0000-0000-000000000000","evntagnt.dll","C:\Windows\System32\evntagnt.dll","","","","","Application"
"Group Policy","","0","00000000-0000-0000-0000-000000000000","gpapi.dll","C:\Windows\System32\gpapi.dll","","","","","Application"
"Group Policy Applications","","0","00000000-0000-0000-0000-000000000000","gpprefcl.dll","gpprefcl.dll","gpprefcl.dll","","","","Application"
"Group Policy Client","","0","00000000-0000-0000-0000-000000000000","gpprefcl.dll","gpprefcl.dll","gpprefcl.dll","","","","Application"
"Group Policy Data Sources","","0","00000000-0000-0000-0000-000000000000","gpprefcl.dll","gpprefcl.dll","gpprefcl.dll","","","","Application"
"Group Policy Device Settings","","0","00000000-0000-0000-0000-000000000000","gpprefcl.dll","gpprefcl.dll","gpprefcl.dll","","","","Application"
"Group Policy Drive Maps","","0","00000000-0000-0000-0000-000000000000","gpprefcl.dll","gpprefcl.dll","gpprefcl.dll","","","","Application"
"Group Policy Environment","","0","00000000-0000-0000-0000-000000000000","gpprefcl.dll","gpprefcl.dll","gpprefcl.dll","","","","Application"
