"Name","EventLog","EventMessageFiles","CategoryMessageFile","ParameterMessageFile","ProviderGuid","EventLevels","CategoryCount"
".NET Runtime","Application","mscoree.dll","","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
".NET Runtime Optimization Service","Application","mscoree.dll","","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
"Active Server Pages","Application","iisres.dll","","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
"Application","Application","","C:\Windows\system32\wevtapi.dll","","00000000-0000-0000-0000-000000000000","","7"
"Application Error","Application","wer.dll","C:\Windows\System32\wer.dll","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","1"
"Application Hang","Application","wersvc.dll","","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
"Application Management","Application","appmgmts.dll","","C:\Windows\System32\kernel32.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
"Application-Addon-Event-Provider","Application","ieframe.dll","","","a83fa99f-c356-4ded-9fd6-5a5eb8546d68","","0"
"ASP.NET 2.0.50727.0","Application","aspnet_rc.dll","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\aspnet_rc.dll","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","5"
"ASP.NET 4.0.30319.0","Application","aspnet_rc.dll","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_rc.dll","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","5"
"AutoEnrollment","Application","","","","f0db7ef8-b6f3-4005-9937-feb77b9e1b43","","0"
"CardSpace 4.0.0.0","Application","servicemodelevents.dll; icardres.dll","C:\Windows\System32\icardres.dll","","00000000-0000-0000-0000-000000000000","","1"
"CertCa","Application","","","","98bf1cd3-583e-4926-95ee-a61bf3f46470","","0"
"CertCli","Application","","","","98bf1cd3-583e-4926-95ee-a61bf3f46470","","0"
"CertEnroll","Application","","","","54164045-7c50-4905-963f-e5bc1eef0cca","","0"
"Chkdsk","Application","ulib.dll","","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
"COM","Application","","","","bf406804-6afa-46e7-8a48-6c357e1d6d61","","0"
"COM+","Application","","","","0f177893-4a9c-4709-b921-f432d67f43d5","","0"
"Customer Experience Improvement Program","Application","","","","a402fe09-da6e-45f2-82af-3cb37170ee0c","","0"
"Desktop Window Manager","Application","dwm.exe","","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
"DiskQuota","Application","dskquota.dll","","","00000000-0000-0000-0000-000000000000","","0"
"Error Instrument","Application","user32.dll","","","cd7cf0d0-02cc-4872-9b65-0dba0a90efe8","","0"
"ESENT","Application","esent.dll","C:\Windows\system32\esent.dll","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","16"
"EventSystem","Application","","","","899daace-4868-4295-afcd-9eb8fb497561","","0"
"EvntAgnt","Application","evntagnt.dll","","","00000000-0000-0000-0000-000000000000","Error, Warning, Information","0"
"Folder Redirection","Application","fdeploy.dll","","","7d7b0c39-93f6-4100-bd96-4dda859652c5","Error, Warning, Information","0"
"Group Policy Applications","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Client","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Data Sources","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Device Settings","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Drive Maps","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Environment","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Files","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Folder Options","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Folders","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Ini Files","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Internet Settings","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Local Users and Groups","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Mail Profiles","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Network Options","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Network Shares","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Power Options","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Printers","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Regional Options","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Registry","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Scheduled Tasks","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Services","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Shortcuts","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Standard Edition","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
"Group Policy Start Menu Settings","Application","gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","C:\Windows\System32\gpprefcl.dll","00000000-0000-0000-0000-000000000000","Error, Warning, Information","2"
